Obj_mks1,Obj_mks1,Obj_mks1,Obj_mks2,Obj_mks2,Obj_mks2,Obj_mks3,Obj_mks3,Obj_mks3,Obj_mks4,Obj_mks4,Obj_mks4,Obj_mks5,Obj_mks5,Obj_mks5
208.067,724.529,23.9167,408.899,725.751,22.6252,407.523,841.755,24.3496,410.618,726.432,-4.6907,407.366,845.519,-4.694
208.071,724.522,23.9186,408.878,725.739,22.6219,407.534,841.751,24.3602,410.612,726.422,-4.6976,407.391,845.579,-4.6642
208.033,724.44,23.7219,408.868,725.763,22.6032,407.522,841.745,24.3484,410.598,726.42,-4.7185,407.361,845.531,-4.6952
208.038,724.449,23.7321,408.868,725.737,22.6213,407.526,841.729,24.3557,410.605,726.411,-4.7105,407.369,845.538,-4.6891
208.044,724.433,23.73,408.889,725.757,22.6125,407.534,841.743,24.3483,410.619,726.416,-4.7045,407.392,845.598,-4.6623
208.032,724.429,23.7305,408.889,725.735,22.6196,407.528,841.748,24.3503,410.613,726.409,-4.706,407.358,845.514,-4.7022
208.043,724.423,23.7218,408.889,725.735,22.6124,407.545,841.746,24.3505,410.613,726.411,-4.7083,407.37,845.561,-4.6867
208.045,724.421,23.7339,408.906,725.754,22.6161,407.537,841.742,24.3411,410.634,726.42,-4.6975,407.389,845.572,-4.6662
208.048,724.431,23.7276,408.896,725.742,22.6197,407.548,841.745,24.3403,410.629,726.402,-4.6965,407.373,845.535,-4.7051
208.048,724.434,23.7137,408.897,725.75,22.6168,407.558,841.751,24.3443,410.629,726.399,-4.7006,407.38,845.53,-4.7005
208.056,724.42,23.7164,408.909,725.745,22.6181,407.546,841.74,24.3352,410.625,726.4,-4.7141,407.367,845.514,-4.7181
208.044,724.428,23.7156,408.909,725.737,22.6083,407.554,841.738,24.3371,410.646,726.412,-4.7032,407.408,845.585,-4.6742
208.065,724.423,23.7218,408.906,725.743,22.619,407.558,841.747,24.3394,410.64,726.398,-4.7013,407.376,845.513,-4.7023
208.059,724.427,23.7289,408.905,725.739,22.6222,407.559,841.739,24.3419,410.646,726.408,-4.7037,407.424,845.586,-4.6679
208.06,724.428,23.7244,408.919,725.745,22.6179,407.558,841.743,24.3368,410.639,726.396,-4.7128,407.394,845.551,-4.6794
208.061,724.418,23.7276,408.918,725.721,22.6287,407.558,841.738,24.3421,410.642,726.394,-4.7105,407.37,845.515,-4.7209
208.059,724.415,23.724,408.917,725.714,22.6283,407.555,841.737,24.3311,410.641,726.396,-4.7181,407.423,845.594,-4.664
208.062,724.42,23.7188,408.92,725.749,22.6157,407.558,841.75,24.3361,410.645,726.405,-4.6976,407.353,845.495,-4.7307
208.067,724.415,23.7303,408.92,725.741,22.6162,407.56,841.747,24.334,410.643,726.4,-4.7152,407.393,845.553,-4.7084
208.063,724.42,23.7253,408.908,725.74,22.613,407.562,841.741,24.3387,410.635,726.406,-4.711,407.4,845.559,-4.7045
208.061,724.429,23.7228,408.911,725.743,22.6212,407.554,841.741,24.3443,410.637,726.401,-4.7057,407.408,845.587,-4.6825
208.054,724.423,23.7233,408.903,725.743,22.62,407.548,841.735,24.3418,410.646,726.412,-4.6965,407.41,845.591,-4.6805
208.057,724.425,23.7298,408.901,725.735,22.6174,407.554,841.748,24.346,410.644,726.414,-4.6962,407.388,845.547,-4.6962
208.052,724.429,23.7344,408.899,725.704,22.6323,407.55,841.749,24.3442,410.629,726.415,-4.7074,407.399,845.585,-4.6733
208.05,724.427,23.7279,408.897,725.738,22.6189,407.54,841.745,24.3436,410.615,726.406,-4.7213,407.344,845.499,-4.7165
208.052,724.439,23.7247,408.903,725.741,22.6171,407.531,841.745,24.3466,410.626,726.414,-4.71,407.372,845.522,-4.6988
208.048,724.443,23.7209,408.891,725.739,22.6189,407.552,841.76,24.3534,410.627,726.417,-4.6933,407.356,845.529,-4.7073
208.042,724.437,23.7245,408.892,725.744,22.6197,407.528,841.743,24.3413,410.64,726.422,-4.6843,407.397,845.585,-4.678
208.047,724.456,23.7242,408.892,725.752,22.6153,407.533,841.756,24.3455,410.625,726.42,-4.7076,407.356,845.523,-4.7056
208.033,724.441,23.7275,408.884,725.743,22.6141,407.538,841.755,24.3486,410.614,726.419,-4.7066,407.38,845.54,-4.6745
208.042,724.448,23.731,408.887,725.762,22.6138,407.525,841.746,24.3446,410.603,726.419,-4.6987,407.362,845.529,-4.6801
208.034,724.444,23.7255,408.873,725.742,22.6182,407.528,841.748,24.3592,410.606,726.419,-4.7129,407.372,845.533,-4.6758
208.04,724.429,23.7309,408.886,725.755,22.6183,407.532,841.75,24.3498,410.624,726.423,-4.6893,407.373,845.541,-4.6764
208.04,724.429,23.7304,408.901,725.768,22.6137,407.527,841.749,24.3463,410.624,726.422,-4.6998,407.381,845.576,-4.6829
208.033,724.451,23.7167,408.874,725.74,22.6226,407.533,841.747,24.3431,410.612,726.423,-4.6961,407.347,845.519,-4.7048
208.044,724.43,23.7251,408.882,725.747,22.6174,407.543,841.759,24.3443,410.59,726.416,-4.7241,407.368,845.534,-4.6964
208.033,724.443,23.7203,408.893,725.748,22.617,407.541,841.746,24.3555,410.606,726.417,-4.7048,407.389,845.595,-4.6835
208.035,724.441,23.7171,408.897,725.741,22.6152,407.534,841.751,24.3478,410.633,726.418,-4.6988,407.378,845.562,-4.6726
208.05,724.429,23.7299,408.892,725.743,22.6199,407.539,841.755,24.3326,410.611,726.421,-4.7016,407.352,845.508,-4.7118
208.04,724.432,23.7305,408.901,725.779,22.6097,407.551,841.756,24.3427,410.633,726.416,-4.6926,407.39,845.58,-4.6689
208.044,724.43,23.7356,408.899,725.746,22.6192,407.543,841.744,24.3417,410.635,726.413,-4.6994,407.374,845.537,-4.6947
208.055,724.43,23.724,408.893,725.746,22.6206,407.54,841.744,24.35,410.642,726.408,-4.7067,407.359,845.521,-4.7217
208.043,724.429,23.7241,408.91,725.749,22.6161,407.552,841.746,24.3403,410.653,726.421,-4.6945,407.352,845.499,-4.7211
208.064,724.413,23.7184,408.909,725.731,22.6109,407.564,841.756,24.337,410.649,726.417,-4.7081,407.4,845.56,-4.6826
208.059,724.423,23.7255,408.91,725.729,22.6059,407.56,841.745,24.3377,410.642,726.404,-4.7089,407.391,845.55,-4.6904
208.063,724.428,23.725,408.918,725.74,22.6208,407.564,841.743,24.3466,410.659,726.409,-4.7043,407.381,845.514,-4.7039
208.07,724.428,23.7303,408.917,725.745,22.6165,407.555,841.67,24.1898,410.655,726.402,-4.7022,407.378,845.512,-4.71
208.071,724.412,23.7273,408.925,725.715,22.6208,407.554,841.667,24.1939,410.653,726.399,-4.7087,407.421,845.577,-4.6776
208.078,724.415,23.7205,408.929,725.713,22.6276,407.553,841.66,24.1957,410.665,726.388,-4.7104,407.418,845.582,-4.6771
208.069,724.409,23.7282,408.924,725.711,22.6278,407.557,841.656,24.196,410.678,726.386,-4.7075,407.417,845.57,-4.6811
208.075,724.409,23.7225,408.938,725.721,22.6228,407.553,841.657,24.1905,410.659,726.386,-4.7075,407.416,845.579,-4.6909
208.079,724.408,23.7312,408.94,725.732,22.6191,407.563,841.72,24.3063,410.656,726.384,-4.7176,407.394,845.515,-4.7165
208.068,724.394,23.722,408.935,725.724,22.6238,407.568,841.671,24.1891,410.66,726.386,-4.7089,407.438,845.592,-4.6714
208.066,724.404,23.7257,408.942,725.718,22.6258,407.564,841.659,24.1922,410.662,726.386,-4.7065,407.424,845.562,-4.6796
208.072,724.404,23.7125,408.937,725.716,22.6121,407.561,841.671,24.1973,410.668,726.4,-4.7124,407.409,845.54,-4.6759
208.076,724.401,23.7221,408.933,725.751,22.6122,407.571,841.723,24.3094,410.662,726.387,-4.7067,407.422,845.594,-4.6668
208.068,724.399,23.7245,408.934,725.717,22.6259,407.567,841.715,24.31,410.667,726.386,-4.7106,407.402,845.56,-4.6906
208.075,724.412,23.7274,408.924,725.715,22.6231,407.554,841.669,24.1961,410.65,726.397,-4.7154,407.407,845.577,-4.6793
208.066,724.409,23.733,408.933,725.724,22.6235,407.542,841.664,24.1947,410.648,726.396,-4.7114,407.41,845.601,-4.6753
208.061,724.395,23.7248,408.914,725.712,22.6212,407.549,841.714,24.3074,410.64,726.389,-4.7027,407.379,845.541,-4.6985
208.057,724.42,23.7273,408.907,725.727,22.6193,407.538,841.755,24.3059,410.635,726.409,-4.7095,407.36,845.481,-4.7278
208.059,724.426,23.7319,408.901,725.729,22.625,407.543,841.659,24.2013,410.618,726.402,-4.7225,407.389,845.547,-4.698
208.083,724.5,23.9152,408.897,725.734,22.6175,407.551,841.736,24.3197,410.648,726.416,-4.6929,407.411,845.604,-4.6703
208.078,724.501,23.9241,408.904,725.752,22.6155,407.551,841.738,24.3118,410.621,726.411,-4.7092,407.366,845.522,-4.7127
208.083,724.513,23.9282,408.891,725.743,22.6175,407.54,841.735,24.3164,410.632,726.421,-4.7005,407.395,845.578,-4.6704
208.081,724.505,23.9164,408.887,725.739,22.6319,407.539,841.728,24.3146,410.613,726.41,-4.715,407.359,845.501,-4.704
208.08,724.516,23.9247,408.905,725.745,22.6255,407.54,841.743,24.3276,410.629,726.42,-4.7036,407.368,845.519,-4.6846
208.042,724.429,23.7339,408.914,725.774,22.6088,407.544,841.746,24.326,410.623,726.426,-4.7031,407.373,845.533,-4.6832
208.058,724.479,23.7303,408.899,725.768,22.6182,407.541,841.746,24.3295,410.619,726.423,-4.7022,407.334,845.505,-4.7277
208.08,724.503,23.9237,408.891,725.756,22.6274,407.535,841.743,24.3292,410.626,726.418,-4.7056,407.376,845.528,-4.6921
208.045,724.432,23.7329,408.889,725.744,22.6196,407.541,841.741,24.3336,410.622,726.414,-4.7041,407.358,845.535,-4.7083
208.059,724.465,23.7374,408.905,725.754,22.6294,407.546,841.761,24.3409,410.635,726.421,-4.6873,407.354,845.526,-4.7088
208.053,724.441,23.7334,408.872,725.735,22.6246,407.533,841.749,24.3403,410.622,726.423,-4.7052,407.396,845.599,-4.6682
208.048,724.427,23.7336,408.903,725.751,22.621,407.531,841.753,24.3358,410.616,726.422,-4.7088,407.393,845.557,-4.6745
208.047,724.439,23.7295,408.887,725.741,22.618,407.548,841.752,24.3566,410.63,726.413,-4.7073,407.368,845.546,-4.6876
208.052,724.441,23.7342,408.896,725.739,22.6245,407.544,841.755,24.3488,410.638,726.414,-4.7048,407.353,845.496,-4.7161
208.097,724.492,23.9213,408.902,725.741,22.6222,407.545,841.742,24.3412,410.629,726.422,-4.6996,407.393,845.559,-4.6767
208.094,724.494,23.917,408.909,725.747,22.616,407.551,841.737,24.3429,410.629,726.398,-4.7068,407.381,845.539,-4.6962
208.113,724.489,23.9262,408.909,725.72,22.6252,407.551,841.667,24.1993,410.653,726.406,-4.6948,407.408,845.575,-4.66
208.099,724.488,23.9242,408.911,725.721,22.6249,407.549,841.668,24.2028,410.648,726.396,-4.7063,407.406,845.558,-4.6807
208.103,724.486,23.9398,408.927,725.723,22.6275,407.559,841.717,24.3206,410.667,726.395,-4.6885,407.402,845.552,-4.6718
208.112,724.489,23.9472,408.924,725.72,22.6316,407.547,841.667,24.1929,410.649,726.392,-4.7077,407.427,845.586,-4.6599
208.118,724.481,23.963,408.932,725.715,22.6238,407.54,841.655,24.198,410.656,726.375,-4.706,407.393,845.544,-4.6901
208.117,724.487,23.984,408.938,725.716,22.6345,407.554,841.662,24.2033,410.659,726.381,-4.6997,407.415,845.575,-4.6803
